Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
random_forest,classification,svd_comp500_tfidf5000_ng1-1,5,0.4484,0.5308,0.0014,"{'Model_K': 9492, 'Model_E': 221, 'Model_C': 197, 'Model_D': 130, 'Model_J': 45, 'Model_F': 30, 'Model_I': 20, 'Model_H': 19, 'Model_B': 11, 'Model_G': 10, 'Model_A': 7}",
lightgbm,classification,svd_comp1000_tfidf30000_ng1-3,10,0.4483,0.531,0.0015,"{'Model_K': 9163, 'Model_C': 393, 'Model_E': 262, 'Model_D': 218, 'Model_J': 55, 'Model_F': 26, 'Model_H': 17, 'Model_I': 14, 'Model_G': 14, 'Model_B': 11, 'Model_A': 9}",
xgboost,classification,tfidf_max30000_ng1-3,10,0.4483,0.5323,0.0021,"{'Model_K': 8596, 'Model_C': 617, 'Model_D': 362, 'Model_E': 330, 'Model_J': 124, 'Model_H': 46, 'Model_I': 33, 'Model_F': 29, 'Model_G': 21, 'Model_B': 20, 'Model_A': 4}",
xgboost,cost_sensitive,tfidf_max30000_ng1-3,10,0.4483,0.5877,0.0264,"{'Model_K': 4223, 'Model_H': 2701, 'Model_F': 1463, 'Model_B': 394, 'Model_J': 273, 'Model_G': 272, 'Model_D': 250, 'Model_I': 212, 'Model_C': 199, 'Model_E': 113, 'Model_A': 82}",
xgboost,classification,svd_comp500_tfidf5000_ng1-1,5,0.4482,0.5306,0.0015,"{'Model_K': 8898, 'Model_C': 489, 'Model_D': 328, 'Model_E': 261, 'Model_J': 80, 'Model_F': 44, 'Model_I': 29, 'Model_H': 20, 'Model_G': 13, 'Model_B': 13, 'Model_A': 7}",
random_forest,classification,w2v_size100_win5,5,0.4481,0.5307,0.0015,"{'Model_K': 9068, 'Model_C': 447, 'Model_E': 318, 'Model_D': 219, 'Model_J': 43, 'Model_F': 28, 'Model_H': 20, 'Model_I': 13, 'Model_B': 12, 'Model_G': 7, 'Model_A': 7}",
xgboost,classification,w2v_size100_win5,5,0.448,0.5314,0.0019,"{'Model_K': 8561, 'Model_C': 685, 'Model_D': 418, 'Model_E': 305, 'Model_J': 88, 'Model_H': 53, 'Model_F': 29, 'Model_B': 14, 'Model_I': 13, 'Model_G': 9, 'Model_A': 7}",
lightgbm,classification,meta_len1_code1_math1,5,0.4479,0.5322,0.0023,"{'Model_K': 8699, 'Model_C': 569, 'Model_D': 313, 'Model_E': 226, 'Model_J': 115, 'Model_G': 55, 'Model_H': 53, 'Model_I': 49, 'Model_B': 41, 'Model_A': 35, 'Model_F': 27}",
xgboost,cost_sensitive,tfidf_max5000_ng1-1,5,0.4478,0.5861,0.0259,"{'Model_K': 4330, 'Model_H': 2581, 'Model_F': 1437, 'Model_B': 439, 'Model_J': 303, 'Model_D': 235, 'Model_G': 226, 'Model_I': 207, 'Model_C': 200, 'Model_E': 125, 'Model_A': 99}",
random_forest,cost_sensitive,tfidf_max30000_ng1-3,10,0.4478,0.5399,0.0057,"{'Model_K': 8815, 'Model_E': 424, 'Model_H': 361, 'Model_C': 275, 'Model_D': 132, 'Model_J': 65, 'Model_F': 47, 'Model_G': 23, 'Model_I': 21, 'Model_B': 12, 'Model_A': 7}",
lightgbm,classification,svd_comp500_tfidf5000_ng1-1,5,0.4477,0.5301,0.0015,"{'Model_K': 9093, 'Model_C': 398, 'Model_E': 262, 'Model_D': 243, 'Model_J': 68, 'Model_F': 41, 'Model_I': 27, 'Model_H': 22, 'Model_G': 12, 'Model_B': 12, 'Model_A': 4}",
ridge,regression,tfidf_max5000_ng1-1,5,0.4477,0.5544,0.0121,"{'Model_K': 3215, 'Model_H': 1632, 'Model_F': 1282, 'Model_B': 811, 'Model_D': 730, 'Model_J': 613, 'Model_I': 429, 'Model_C': 427, 'Model_G': 421, 'Model_E': 389, 'Model_A': 233}",
xgboost,classification,svd_comp1000_tfidf30000_ng1-3,10,0.4477,0.5306,0.0017,"{'Model_K': 9043, 'Model_C': 445, 'Model_D': 267, 'Model_E': 262, 'Model_J': 63, 'Model_F': 26, 'Model_H': 22, 'Model_I': 17, 'Model_B': 16, 'Model_A': 11, 'Model_G': 10}",
lightgbm,classification,tfidf_max30000_ng1-3,10,0.4476,0.5323,0.0025,"{'Model_K': 8079, 'Model_C': 762, 'Model_D': 525, 'Model_E': 357, 'Model_J': 190, 'Model_H': 72, 'Model_F': 70, 'Model_I': 41, 'Model_G': 37, 'Model_B': 34, 'Model_A': 15}",
random_forest,classification,tfidf_max5000_ng1-1,5,0.4474,0.5302,0.0017,"{'Model_K': 8673, 'Model_E': 485, 'Model_C': 461, 'Model_D': 309, 'Model_J': 76, 'Model_F': 67, 'Model_I': 32, 'Model_H': 28, 'Model_B': 21, 'Model_G': 18, 'Model_A': 12}",
random_forest,cost_sensitive,svd_comp500_tfidf5000_ng1-1,5,0.447,0.5388,0.0057,"{'Model_K': 9446, 'Model_H': 372, 'Model_F': 83, 'Model_C': 66, 'Model_D': 58, 'Model_E': 56, 'Model_J': 45, 'Model_I': 23, 'Model_B': 19, 'Model_G': 7, 'Model_A': 7}",
random_forest,regression,svd_comp500_tfidf5000_ng1-1,5,0.447,0.5545,0.0125,"{'Model_K': 3444, 'Model_H': 1700, 'Model_F': 1288, 'Model_B': 815, 'Model_D': 804, 'Model_J': 602, 'Model_I': 390, 'Model_E': 348, 'Model_C': 346, 'Model_A': 225, 'Model_G': 220}",
xgboost,classification,dense_all-MiniLM-L6-v2,5,0.447,0.5296,0.0016,"{'Model_K': 8926, 'Model_C': 596, 'Model_D': 364, 'Model_E': 214, 'Model_J': 41, 'Model_H': 23, 'Model_F': 9, 'Model_A': 3, 'Model_G': 3, 'Model_I': 3}",
lightgbm,cost_sensitive,tfidf_max30000_ng1-3,10,0.447,0.5778,0.0227,"{'Model_K': 4583, 'Model_H': 2314, 'Model_F': 1334, 'Model_C': 475, 'Model_D': 426, 'Model_B': 280, 'Model_J': 275, 'Model_E': 181, 'Model_G': 154, 'Model_I': 130, 'Model_A': 30}",
lightgbm,classification,dense_Qwen-Qwen3-Embedding-8B,10,0.4469,0.5289,0.0014,"{'Model_K': 9110, 'Model_C': 494, 'Model_E': 277, 'Model_D': 222, 'Model_J': 44, 'Model_H': 21, 'Model_F': 6, 'Model_G': 4, 'Model_I': 3, 'Model_B': 1}",
xgboost,cost_sensitive,svd_comp1000_tfidf30000_ng1-3,10,0.4469,0.5727,0.0205,"{'Model_K': 5235, 'Model_H': 2144, 'Model_F': 922, 'Model_D': 438, 'Model_B': 393, 'Model_C': 259, 'Model_J': 254, 'Model_G': 232, 'Model_I': 139, 'Model_E': 113, 'Model_A': 53}",
lightgbm,classification,w2v_size100_win5,5,0.4468,0.5297,0.0017,"{'Model_K': 8791, 'Model_C': 643, 'Model_D': 296, 'Model_E': 273, 'Model_J': 69, 'Model_H': 36, 'Model_F': 29, 'Model_I': 14, 'Model_B': 12, 'Model_G': 11, 'Model_A': 8}",
xgboost,classification,tfidf_max5000_ng1-1,5,0.4462,0.5297,0.0021,"{'Model_K': 8517, 'Model_C': 660, 'Model_D': 386, 'Model_E': 323, 'Model_J': 126, 'Model_H': 37, 'Model_I': 31, 'Model_G': 30, 'Model_B': 30, 'Model_F': 30, 'Model_A': 12}",
lightgbm,cost_sensitive,w2v_size100_win5,5,0.4461,0.5615,0.0161,"{'Model_K': 6042, 'Model_H': 1650, 'Model_F': 697, 'Model_D': 545, 'Model_C': 501, 'Model_J': 277, 'Model_B': 184, 'Model_E': 142, 'Model_G': 70, 'Model_I': 57, 'Model_A': 17}",
